"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/KLINIK+HIPNOTERAPI+PEKANBARU,+Minda+Brilian+Sukses/data=!4m7!3m6!1s0x31d5aeea5ab8fbcb:0xf02bde4ed8bb5620!8m2!3d0.4928472!4d101.4634762!16s%2Fg%2F11clt9k8_n!19sChIJy_u4Wuqu1TERIFa72E7eK_A?authuser=0&hl=id&rclk=1","KLINIK HIPNOTERAPI PEKANBARU, Minda Brilian Sukses","4,9","(56)","Psikolog","·","Jl. Lumba - Lumba No.45","Tutup","· Buka Sen pukul 08.30","·","0813-7853-7379","https://hipnoterapipekanbaru.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat recommended buat perusahaan maupun dinas pemerintahan."""
"https://www.google.com/maps/place/Propsychology+Psikologi+dan+Kesehatan+SIM+Balikpapan/data=!4m7!3m6!1s0x2df147ebcd0ca231:0x658faddca716090e!8m2!3d-1.277651!4d116.8349252!16s%2Fg%2F11tcwrxcv6!19sChIJMaIMzetH8S0RDgkWp9ytj2U?authuser=0&hl=id&rclk=1","Propsychology Psikologi dan Kesehatan SIM Balikpapan","5,0","(1)","Psikolog","·","Jl. Jenderal Sudirman, Ruko Bandar","Tutup","· Buka Sen pukul 07.30","·","0812-7076-1840","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya ramah"""
"https://www.google.com/maps/place/KLINIK+PSIKOLOGI+DAN+KESEHATAN+SIM/data=!4m7!3m6!1s0x2df147002e5d036f:0xceb48fc80a62e6c5!8m2!3d-1.277409!4d116.834791!16s%2Fg%2F11z6gkgcwt!19sChIJbwNdLgBH8S0RxeZiCsiPtM4?authuser=0&hl=id&rclk=1","KLINIK PSIKOLOGI DAN KESEHATAN SIM","4,0","(1)","Klinik Medis","·","PRFM+3W6, Jl. Jenderal Sudirman, Ruko Bandar","","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Namun jika tidak ada bisa dibantu copy di sini."""
"https://www.google.com/maps/place/Kiddo%27s+Clinic+-+Klinik+Psikologi+dan+Tumbuh+Kembang+Anak/data=!4m7!3m6!1s0x31d5abb01ec1ddfb:0x1e562619c6918b04!8m2!3d0.5389326!4d101.4293654!16s%2Fg%2F11rg6q94zf!19sChIJ-93BHrCr1TERBIuRxhkmVh4?authuser=0&hl=id&rclk=1","Kiddo's Clinic - Klinik Psikologi dan Tumbuh Kembang Anak","5,0","(51)","Klinik Kesehatan Mental","·","Jl. Kulim No.88","Tutup","· Buka Sen pukul 09.00","·","0811-7607-117","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan ramah, tempat bersih, terbaik pokonyaa"""
"https://www.google.com/maps/place/Praktek+Psikolog+Pekanbaru/data=!4m7!3m6!1s0x31d5ab2a2ee29183:0xa0873c70e78fd55d!8m2!3d0.568769!4d101.422063!16s%2Fg%2F11swf5r9p8!19sChIJg5HiLiqr1TERXdWP53A8h6A?authuser=0&hl=id&rclk=1","Praktek Psikolog Pekanbaru","","","Psikolog","·","Jl. Taman Sari No.6","","","","","","","Rute","","","",""
"https://www.google.com/maps/place/Praktek+Psikologi+%E2%80%9C+Sri+Rahmadhani+,M.Psi.,Psikolog%E2%80%9D/data=!4m7!3m6!1s0x31d5affaacd3d379:0x626eb6ad16a73661!8m2!3d0.4926423!4d101.4531404!16s%2Fg%2F11rwrgl1b_!19sChIJedPTrPqv1TERYTanFq22bmI?authuser=0&hl=id&rclk=1","Praktek Psikologi “ Sri Rahmadhani ,M.Psi.,Psikolog”","5,0","(19)","Psikolog","·","Jl. Kereta Api Ujung No.7.D","","","·","0822-1845-5888","https://instagram.com/humairasolution?utm_medium=copy_link","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""saya merasa bersyukur bisa bertemu dengan kakak psikolognya."""
"https://www.google.com/maps/place/Yayasan+Psikologi+Clarinta,+Klinik+Psikologi+Anak+dan+Keluarga+%28ABK%29/data=!4m7!3m6!1s0x2df147a47b6be1bd:0xac3efb067b4f3aca!8m2!3d-1.2216505!4d116.8428112!16s%2Fg%2F11fcmvnsxy!19sChIJveFre6RH8S0RyjpPewb7Pqw?authuser=0&hl=id&rclk=1","Yayasan Psikologi Clarinta, Klinik Psikologi Anak dan Keluarga (ABK)","4,3","(6)","Psikolog","·","Pondok Anggun Kencana No.86, RT.09","Tutup","· Buka Sen pukul 08.00","·","0813-4739-8169","","","Rute","","","",""
"https://www.google.com/maps/place/Psikolog+OKE+DIAH,+S.Psi/data=!4m7!3m6!1s0x31d5ade71182026b:0xb728eecd1db54ccb!8m2!3d0.515664!4d101.4393713!16s%2Fg%2F11gjhcdfjn!19sChIJawKCEeet1TERy0y1Hc3uKLc?authuser=0&hl=id&rclk=1","Psikolog OKE DIAH, S.Psi","","","Psikolog","·","Jl. Mangga No.78","Tutup","· Buka Sen pukul 08.00","·","0813-8133-3901","","","Rute","","","",""
"https://www.google.com/maps/place/Praktik+Psikolog+Yusrah+Annisa/data=!4m7!3m6!1s0x31d5c5006776a3c1:0x652d67fdb2975c82!8m2!3d0.3949317!4d101.8583129!16s%2Fg%2F11mdh8_ln1!19sChIJwaN2ZwDF1TERglyXsv1nLWU?authuser=0&hl=id&rclk=1","Praktik Psikolog Yusrah Annisa","5,0","(4)","Psikolog","·","Gg. Ambisi","Tutup","· Buka Sen pukul 09.00","·","0822-8678-3406","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat memuaskan, dijelas kan secara detail satu persatu dijelaskan"""
"https://www.google.com/maps/place/YOUNG+GENERATION+CENTER+%28+Layanan+Psikologi+dan+Terapi+Tumbuh+Kembang+Anak%29/data=!4m7!3m6!1s0x2df1470020c33455:0xc06a48408e2eaf3e!8m2!3d-1.2386935!4d116.8526348!16s%2Fg%2F11ym2vbjq2!19sChIJVTTDIABH8S0RPq8ujkBIasA?authuser=0&hl=id&rclk=1","YOUNG GENERATION CENTER ( Layanan Psikologi dan Terapi Tumbuh Kembang Anak)","4,9","(16)","Psikolog Anak","·","QV63+G3C, Jl. DI. Panjaitan","Tutup","· Buka Sen pukul 09.00","·","0851-3888-2995","https://www.instagram.com/younggeneration.center?igsh=MW16cWc3bGlpbTRzdQ==","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terapis ramah,sabar,pelayanan bagus."""
