"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/GPS+Jakarta+cabang+Yogyakarta/data=!4m7!3m6!1s0x2e7a57e431749ded:0xa885008375a45293!8m2!3d-7.7999477!4d110.3970298!16s%2Fg%2F11h77l4c11!19sChIJ7Z10MeRXei4Rk1KkdYMAhag?authuser=0&hl=id&rclk=1","GPS Jakarta cabang Yogyakarta","5,0","(1)","Psikolog","·","","Jl. Sidobali No.388 B","","","","","0852-1062-3123","","","Rute","","","",""
"https://www.google.com/maps/place/Gadjah+Mada+Medical+Center+%28GMC%29/data=!4m7!3m6!1s0x2e7a584a517ff77b:0x133165a874cf7fff!8m2!3d-7.7726436!4d110.375098!16s%2Fg%2F1pzy5gn1d!19sChIJe_d_UUpYei4R_3_PdKhlMRM?authuser=0&hl=id&rclk=1","Gadjah Mada Medical Center (GMC)","4,1","(651)","Klinik Medis","·","","·","L 3 Sekip, Jl. Kayu Putih","Tutup","· Buka Sen pukul 07.30","·","(0274) 551412","http://gmc.ugm.ac.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Melayani faskes 1 BPJS baik oeriksa maupun minta rujukan."""
"https://www.google.com/maps/place/Lembaga+Psikologi+Intelektualita/data=!4m7!3m6!1s0x2e7a57976b34c037:0x1ff82db5d0b37e82!8m2!3d-7.8123766!4d110.3657902!16s%2Fg%2F1pztdv93t!19sChIJN8A0a5dXei4Rgn6z0LUt-B8?authuser=0&hl=id&rclk=1","Lembaga Psikologi Intelektualita","3,3","(17)","Psikolog","·","","·","Jalan Langenastran Kidul No. 21 Panembahan Kraton","Tutup","· Buka Sen pukul 08.00","·","(0274) 417312","http://intelektualita.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi di tengah kota Jogja, staf sangat membantu, pelayanan baik 👍👍👍"""
"https://www.google.com/maps/place/Psikologi/data=!4m7!3m6!1s0x2e7a570a5510e383:0xf2d6dcd55e796f91!8m2!3d-7.8245817!4d110.3662005!16s%2Fg%2F11shd3hcv1!19sChIJg-MQVQpXei4RkW95XtXc1vI?authuser=0&hl=id&rclk=1","Psikologi","","","Psikolog","·","","Jl. Jogokaryan No.74","","","","","","","","Rute","","","",""
"https://www.google.com/maps/place/Biro+Psikologi+BuildUp+Consulting/data=!4m7!3m6!1s0x2e7a5744d5339151:0x8e94570424f50128!8m2!3d-7.7661681!4d110.3881629!16s%2Fg%2F11gj4_v671!19sChIJUZEz1URXei4RKAH1JARXlI4?authuser=0&hl=id&rclk=1","Biro Psikologi BuildUp Consulting","4,7","(3)","Psikolog","·","","Jl. Gambir Jl. Gambir Karangasem Baru No.17","·","Tutup","· Buka Sen pukul 08.00","","0895-4014-81480","http://instagram.com/buildup.consulting","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Biro+Layanan+Psikologi+UNISA/data=!4m7!3m6!1s0x2e7a571598a39b6b:0x46bffc7babda846f!8m2!3d-7.8032538!4d110.3555913!16s%2Fg%2F11h24jz4lb!19sChIJa5ujmBVXei4Rb4Taq3v8v0Y?authuser=0&hl=id&rclk=1","Biro Layanan Psikologi UNISA","4,6","(5)","Psikolog","·","","Jl. Munir No.205","Tutup","· Buka Sen pukul 08.00","","","","","","Rute","","","",""
"https://www.google.com/maps/place/RUMAH+NGOBROL+BUNDA+WENING/data=!4m7!3m6!1s0x2e7a56fb447f72f1:0xfb6e00eaf8970c9!8m2!3d-7.8424352!4d110.3895302!16s%2Fg%2F11dxqzwh_d!19sChIJ8XJ_RPtWei4RyXCJrw7gtg8?authuser=0&hl=id&rclk=1","RUMAH NGOBROL BUNDA WENING","5,0","(4)","Psikolog","·","","Jl. Monumen Perjuangan No.85","Tutup","· Buka Rab pukul 09.00","·","","0813-9277-3970","","","Rute","","","",""
"https://www.google.com/maps/place/Ruang+Terapi+Wicara+RS+Siloam+Yogyakarta/data=!4m7!3m6!1s0x2e7a596fcc85ea8d:0x99ff5527899129c!8m2!3d-7.7835433!4d110.3908917!16s%2Fg%2F11lkmcg2kd!19sChIJjeqFzG9Zei4RnBKZeFL1nwk?authuser=0&hl=id&rclk=1","Ruang Terapi Wicara RS Siloam Yogyakarta","4,8","(57)","Departemen Rumah Sakit","·","","·","Jl. Laksda Adisucipto 32-34 Demangan Gondokusuman Yogyakarta 55221","Buka 24 jam","","·","(0274) 4600900","https://www.siloamhospitals.com/Hospitals-and-Clinics/Hospitals/Rumah-Sakit-Siloam-Yogyakarta","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rumah sakit yang bagus dan kredibel dengan pelayanan ramah dan gercep."""
"https://www.google.com/maps/place/Wiloka+Workshop/data=!4m7!3m6!1s0x2e7a579acfac16f9:0x8b11de4b727c69ef!8m2!3d-7.8047708!4d110.3839917!16s%2Fg%2F11fyxcy8y3!19sChIJ-Rasz5pXei4R72l8ckveEYs?authuser=0&hl=id&rclk=1","Wiloka Workshop","4,4","(14)","Psikolog","·","","Jalan Garuda, Gg Beo UH3/320C","·","Tutup","· Buka Sen pukul 10.00","","0823-2371-1813","https://wilokaworkshop.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya tenang dan di tengah kota banget jadi gampang diakses."""
"","","","","","","","","","","","","","","","","","","",""
