"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Bandung+2/data=!4m7!3m6!1s0x2e68e7d91a9b7f1f:0xb019c46cb582237e!8m2!3d-6.8953261!4d107.6334394!16s%2Fg%2F11k3wq23rk!19sChIJH3-bGtnnaC4RfiOCtWzEGbA?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang Bandung 2","4,8","(5)","Psikolog","·","Esitrack, Jl. Pecah Kopi No.22","Buka","· Tutup pukul 20.00","·","0812-1345-8601","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","http://www.praktekpsikolog.com/","","Rute"
"https://www.google.com/maps/place/INDONESIA+SEHAT+Biro+Psikologi+dan+Konsultasi+:+Jasa+Psikolog/data=!4m7!3m6!1s0x2e6993873e75f0b3:0x1a091ab2618b9ebe!8m2!3d-6.2961218!4d106.9288011!16s%2Fg%2F11h07kxtqh!19sChIJs_B1PoeTaS4Rvp6LYbIaCRo?authuser=0&hl=id&rclk=1","INDONESIA SEHAT Biro Psikologi dan Konsultasi : Jasa Psikolog","4,9","(272)","Psikolog","·","PW3H+HGF, Bekasi 17414, Jl. Masjid Rw. Bacang Jl. Mawar Melati No.24, RT.005/RW.013","Buka","· Tutup pukul 16.00","·","0878-8586-3394","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""penyampaiannya sangat informatif nyaman dan mudah dipahami.""","https://sites.google.com/view/indonesia-sehat-psikologi","","Rute"
"https://www.google.com/maps/place/Terapi+dan+Konsultasi+Psikologi/data=!4m7!3m6!1s0x2e68b1448bfa036f:0x6a06ff6e9e5d01c4!8m2!3d-7.1911032!4d107.8869553!16s%2Fg%2F11j4z0yqry!19sChIJbwP6i0SxaC4RxAFdnm7_Bmo?authuser=0&hl=id&rclk=1","Terapi dan Konsultasi Psikologi","4,9","(99)","Psikolog","·","Jl. Otista","Buka","· Tutup pukul 17.00","·","0852-4516-2629","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Setelah konsultasi dan therapy saya merasa lebih baik dr sblmnya🙏💯""","https://www.wahanabahagia.com/","","Rute"
"https://www.google.com/maps/place/Praktek+psikolog+-+Anahata+Layanan+Psikologi+%28Sri+Suci%29/data=!4m7!3m6!1s0x2e68e88be3a0eccf:0xb39e7ce75691f1ef!8m2!3d-6.9405467!4d107.6154414!16s%2Fg%2F11g6p4xbrp!19sChIJz-yg44voaC4R7_GRVud8nrM?authuser=0&hl=id&rclk=1","Praktek psikolog - Anahata Layanan Psikologi (Sri Suci)","4,4","(52)","Psikolog","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Srisuci No.22","0821-3868-1319","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih untuk","https://www.anahatapsikologi.co.id/","","Rute"
"https://www.google.com/maps/place/Triumi/data=!4m7!3m6!1s0x2e68e79d230c28a1:0x16d8120ea26e1296!8m2!3d-6.9245923!4d107.6088323!16s%2Fg%2F11g0mcfkjc!19sChIJoSgMI53naC4RlhJuog4S2BY?authuser=0&hl=id&rclk=1","Triumi","4,3","(38)","Psikolog","·","·","Tutup","· Buka Sen pukul 09.00","Gang Wirabrata Jl. Pasundan No.49","0811-1510-900","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau tanya untuk biaya konsul nya berapa ya?""","https://www.psikologbandung.com/gmb1/","","Rute"
"https://www.google.com/maps/place/Apotek+Mensana+Farma+%26+Mental+Health+Care+%28MHC%29+Cirebon+Psikiater,+Psikolog,+Hipnoterapi,Jasa+Mediasi+Ciayumajakuning/data=!4m7!3m6!1s0x2e6f1ddc54e045f1:0x4be19850ced8f1bd!8m2!3d-6.7306933!4d108.540374!16s%2Fg%2F11kqsdb795!19sChIJ8UXgVNwdby4RvfHYzlCY4Us?authuser=0&hl=id&rclk=1","Apotek Mensana Farma & Mental Health Care (MHC) Cirebon Psikiater, Psikolog, Hipnoterapi,Jasa Mediasi Ciayumajakuning","4,9","(151)","Psikolog","·","Komplek Ruko Permata Hijau, Jl. Brigjen Darsono No.10 Kav.2","Tutup","· Buka Sen pukul 09.00","·","0812-2047-5783","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat baik, dokternya sangat profesional,","https://www.mhc-cirebon.com/","","Rute"
"https://www.google.com/maps/place/Praktek+Konsultasi+Psikolog+Bekasi+%22P2Japsi%22/data=!4m7!3m6!1s0x2e698bb5c33e80c5:0xe717e25dbdd3ba69!8m2!3d-6.1703794!4d106.9810556!16s%2Fg%2F11j8xdbkp9!19sChIJxYA-w7WLaS4RabrTvV3iF-c?authuser=0&hl=id&rclk=1","Praktek Konsultasi Psikolog Bekasi ""P2Japsi""","5,0","(26)","Psikolog","·","Dekat Growing Tree Daycare & Preschool, Jl. Taman Heliconia No.92 Blk HN5","Buka","· Tutup pukul 19.00","·","0819-0112-2321","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya nyaman, service excellent""","","",""
"https://www.google.com/maps/place/Namirah+Psikolog/data=!4m7!3m6!1s0x2e68e69cf8955b9d:0x8d01aabb03b4b865!8m2!3d-6.8751044!4d107.5773803!16s%2Fg%2F11g9qg84bj!19sChIJnVuV-JzmaC4RZbi0A7uqAY0?authuser=0&hl=id&rclk=1","Namirah Psikolog","5,0","(43)","Psikolog","·","Jl. Sariasih II No.1","","","","0815-7157-715","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat ramah, sangat membantu dalam menangani masalah""","","",""
"https://www.google.com/maps/place/Existensi+Biro+Psikologi/data=!4m7!3m6!1s0x2e69c5b811703f35:0x18a736674cf7a604!8m2!3d-6.598702!4d106.7917375!16s%2Fg%2F11b6_c876b!19sChIJNT9wEbjFaS4RBKb3TGc2pxg?authuser=0&hl=id&rclk=1","Existensi Biro Psikologi","4,9","(402)","Psikolog","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Kantor Batu No.19, RT.03/RW.08","(0251) 8335420","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""memberanikan diri untuk pertama kali datang konseling, cukup baik.""","http://existensi.id/","","Rute"
"https://www.google.com/maps/place/PSY+CENTER+MEDIKA+ANTAPANI/data=!4m7!3m6!1s0x2e68e7ef27ba012b:0x7afb0499d3607d00!8m2!3d-6.9137724!4d107.6519438!16s%2Fg%2F11b60q495s!19sChIJKwG6J-_naC4RAH1g05kE-3o?authuser=0&hl=id&rclk=1","PSY CENTER MEDIKA ANTAPANI","4,0","(4)","Psikolog","·","Jl. Purwakarta No.3","Tutup","· Buka Sen pukul 09.00","·","0813-2200-1987","","Rute","","","","",""
