"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Biro+Konsultasi+Psikologi+Hijau/data=!4m7!3m6!1s0x2e473315b322e7ad:0x24d2e790955fec34!8m2!3d-5.3686887!4d104.9398538!16s%2Fg%2F11lpxyp1kf!19sChIJrecisxUzRy4RNOxflZDn0iQ?authuser=0&hl=id&rclk=1","Biro Konsultasi Psikologi Hijau","5,0","(32)","Psikolog","·","Lucky Arya Residence 2, Jl. Hos Cokroaminoto Barat No.18","Tutup","· Buka Sen pukul 09.00","·","0811-666-846","https://ukinstitute.org/#biro","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sehat terus ibu, agar selalu dapat membantu orang lain."""
"https://www.google.com/maps/place/Mata+Hati/data=!4m7!3m6!1s0x2e40da4b78714df3:0x1a8fcc9a02f839c1!8m2!3d-5.4231191!4d105.2633922!16s%2Fg%2F11b7xjfqp5!19sChIJ801xeEvaQC4RwTn4AprMjxo?authuser=0&hl=id&rclk=1","Mata Hati","4,8","(52)","Psikolog Anak","·","·","Tutup","· Buka Sen pukul 08.00","Enggal, Jl. Mawar No.28","0812-7144-4900","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dan juga guru, terapis maupun staff yg sangat welcome dan profesional👍🏻"""
"https://www.google.com/maps/place/Psikolog+Retnoriani/data=!4m7!3m6!1s0x2e40d1ac2ebe8329:0x12ccca7994331897!8m2!3d-5.37343!4d105.2127251!16s%2Fg%2F11fr0bntld!19sChIJKYO-LqzRQC4RlxgzlHnKzBI?authuser=0&hl=id&rclk=1","Psikolog Retnoriani","5,0","(1)","Psikolog","·","Jl. Bukit Kemiling Permai Raya Blk. W No.77","Tutup","· Buka Sen pukul 16.00","·","0815-4043-328","","","Rute","","","",""
"https://www.google.com/maps/place/Biro+Psikologi+Quantum+Nusa+Konsultan/data=!4m7!3m6!1s0x2e40bbefeaf5d10f:0xad7a211e1a1d9566!8m2!3d-5.0921231!4d105.2874892!16s%2Fg%2F1pztlb36p!19sChIJD9H16u-7QC4RZpUdGh4heq0?authuser=0&hl=id&rclk=1","Biro Psikologi Quantum Nusa Konsultan","4,8","(14)","Psikolog","·","Jl. RA Kartini No.28","Buka","· Tutup pukul 16.30","·","0852-6997-9512","https://quantumnusa.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat profesional, responsif dan membantu."""
"https://www.google.com/maps/place/dr.+Ni+Wayan+Dewi+PA+Sp.KJ.,Psikiater/data=!4m7!3m6!1s0x2e40bbb9ab0584dd:0xcddc09f2c22cb12f!8m2!3d-5.050687!4d105.275704!16s%2Fg%2F11n60msk7v!19sChIJ3YQFq7m7QC4RL7EswvIJ3M0?authuser=0&hl=id&rclk=1","dr. Ni Wayan Dewi PA Sp.KJ.,Psikiater","4,8","(24)","Psikiater","·","Jl. Raya Punggur","Tutup","· Buka Sen pukul 16.00","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokter nyaa baik bangett"""
"https://www.google.com/maps/place/Biro+Psikologi+Harmoni/data=!4m7!3m6!1s0x2e40dac80b66b709:0x8da66d2027797347!8m2!3d-5.3809596!4d105.2762279!16s%2Fg%2F11b8jd3ywl!19sChIJCbdmC8jaQC4RR3N5JyBtpo0?authuser=0&hl=id&rclk=1","Biro Psikologi Harmoni","4,1","(40)","Psikoterapis","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Puri Ausditia No.3 Blok EE","0813-7986-2876","https://harmonibiropsikologi.blogspot.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya ramah, psikolognya juga dan insyaAllah terbantu..."""
"https://www.google.com/maps/place/Biro+Psikologi+Psiko+Mandiri/data=!4m7!3m6!1s0x2e40d0077e8b6d7d:0x83c09e70fd61abe2!8m2!3d-5.3751078!4d105.2192155!16s%2Fg%2F11f30rtvqk!19sChIJfW2LfgfQQC4R4qth_XCewIM?authuser=0&hl=id&rclk=1","Biro Psikologi Psiko Mandiri","5,0","(7)","Psikolog","·","J6F9+XM4, Jl. Kepayang Gg. Cendana","","","","0811-728-420","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan psikotes untuk karyawan dan induvidual"""
"https://www.google.com/maps/place/Nurhasanah,+M.Psi.,Psikolog/data=!4m7!3m6!1s0x2e4732906d355567:0xdb56caf5065b322f!8m2!3d-5.3612306!4d104.9882737!16s%2Fg%2F11b6d59gp2!19sChIJZ1U1bZAyRy4RLzJbBvXKVts?authuser=0&hl=id&rclk=1","Nurhasanah, M.Psi.,Psikolog","5,0","(3)","Psikolog","·","Jl. Johar 1","Tutup","· Buka Sen pukul 09.00","·","0852-2823-5412","","","Rute","","","",""
"https://www.google.com/maps/place/Praktik+Any+Nurhayati,+MSi/data=!4m7!3m6!1s0x2e40dac3fecdfe1b:0xc39e63feb87d8a79!8m2!3d-5.3825604!4d105.2490542!16s%2Fg%2F11f2rtx39g!19sChIJG_7N_sPaQC4ReYp9uP5jnsM?authuser=0&hl=id&rclk=1","Praktik Any Nurhayati, MSi","5,0","(2)","Psikolog","","","Tutup","· Buka Sen pukul 08.00","","","","","Rute","","","",""
"https://www.google.com/maps/place/Klinik+Tumbuh+Kembang+Anak+Pelangi+Hati/data=!4m7!3m6!1s0x2e40dbc57d399b6d:0x971becf296148716!8m2!3d-5.4248205!4d105.2565439!16s%2Fg%2F11h6qkdqsm!19sChIJbZs5fcXbQC4RFocUlvLsG5c?authuser=0&hl=id&rclk=1","Klinik Tumbuh Kembang Anak Pelangi Hati","5,0","(104)","Klinik pediatri","","·","Tutup","· Buka Sen pukul 08.00","","(0721) 6013348","http://www.klinikpelangihati.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat terapi yang oke banget, terapisnya ramah ramah ❤️"""
