"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/BIRO+PSIKOLOGI+%22SYAFIQI%22/data=!4m7!3m6!1s0x2e3a3308594d69a9:0xc55bc3d08dcf5465!8m2!3d-3.3993969!4d104.2762377!16s%2Fg%2F11g1pp2kr_!19sChIJqWlNWQgzOi4RZVTPjdDDW8U?authuser=0&hl=id&rclk=1","BIRO PSIKOLOGI ""SYAFIQI""","4,9","(37)","Psikolog","·","J72G+6FX samping Citimal, Jl. Pelangi","Tutup","· Buka Sen pukul 08.00","·","0821-8412-9595","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bagus, ramah, dan sangat membantu""","","",""
"https://www.google.com/maps/place/Psikiater+Klinik+Utama+Bina+Atma+Medan/data=!4m7!3m6!1s0x303131baec10cb6f:0x340f670e15bba228!8m2!3d3.593746!4d98.6972527!16s%2Fg%2F1hc18ynx5!19sChIJb8sQ7LoxMTARKKK7FQ5nDzQ?authuser=0&hl=id&rclk=1","Psikiater Klinik Utama Bina Atma Medan","4,8","(108)","Klinik Kesehatan Mental","·","Jl. HOS Cokroaminoto No.122","Buka 24 jam","","·","(061) 4520757","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan bersih dan ramah,dokter ramah dan baik hati,nyaman dan bersih""","http://bit.ly/3F8yRpw","","Rute"
"https://www.google.com/maps/place/Praktek+dr.+Ezra+Eben,+SpKJ+%28menghubungi+hanya+bisa+lewat+WA+chat,+tidak+menerima+telpon%29/data=!4m7!3m6!1s0x2e3b779fb927af0b:0x6bd5fb096d4f0fbf!8m2!3d-2.9812276!4d104.762075!16s%2Fg%2F11rg2nllls!19sChIJC68nuZ93Oy4Rvw9PbQn71Ws?authuser=0&hl=id&rclk=1","Praktek dr. Ezra Eben, SpKJ (menghubungi hanya bisa lewat WA chat, tidak menerima telpon)","5,0","(4)","Psikoterapis","·","lantai 2 Apotek Dempo Jalan Lingkaran, Jl. Dempo Luar","Tutup","· Buka pukul 10.00","·","0857-7901-7918","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokter yang handal dan terpercaya serta berpengalaman.""","https://www.instagram.com/psikiater_online","","Rute"
"https://www.google.com/maps/place/LAB+PSIKOLOGI+UIN/data=!4m7!3m6!1s0x2e3b75d68559653f:0x475c01f3a02517e6!8m2!3d-2.962494!4d104.748508!16s%2Fg%2F11fxvr2sj2!19sChIJP2VZhdZ1Oy4R5hcloPMBXEc?authuser=0&hl=id&rclk=1","LAB PSIKOLOGI UIN","5,0","(1)","Laboratorium Diagnosis Citra Medis","·","Jl. Prof. K. H. Zainal Abidin Fikri No.1, Pahlawan, Kemuning, Kota Palembang, Sumatera Selatan 30126","Tutup","· Buka Sen pukul 07.00","","","","Rute","","","","",""
"https://www.google.com/maps/place/Optimal+Psychology+%26+Educational+Center+-+Biro+Psikologi/data=!4m7!3m6!1s0x2e3b755481a0d471:0x8fbaabced5356952!8m2!3d-2.9873779!4d104.7571476!16s%2Fg%2F11k6tdk1ky!19sChIJcdSggVR1Oy4RUmk11c6ruo8?authuser=0&hl=id&rclk=1","Optimal Psychology & Educational Center - Biro Psikologi","5,0","(5)","Psikolog","·","Jl. Datuk Moh. Akib","","","","0823-7275-8675","","Rute","","","","",""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍""","http://thinkpluspsikologi.com/","","Rute"
"https://www.google.com/maps/place/Klinik+Psikoterapi+Arman+Asy+Syifa+Palembang,+Promotor+STIFIn+Berlisensi+%28Tes+Mesin+Kecerdasan+STIFIn%29/data=!4m7!3m6!1s0x2e3b75a10b577109:0x3fda88bf4eff2966!8m2!3d-2.939853!4d104.7082401!16s%2Fg%2F11q7dtlc27!19sChIJCXFXC6F1Oy4RZin_Tr-I2j8?authuser=0&hl=id&rclk=1","Klinik Psikoterapi Arman Asy Syifa Palembang, Promotor STIFIn Berlisensi (Tes Mesin Kecerdasan STIFIn)","5,0","(9)","Psikoterapis","·","Perum Gardena Hill, Jl. Gotong Royong No.6 Blok D","Tutup","· Buka pukul 14.30","·","0823-5919-9987","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan bintang lima, ownerny ramah dan sangat bersahabat 👍🏻👍🏻👍🏻✨""","http://piarmanstifin.mandiripreneur.com/","","Rute"
"https://www.google.com/maps/place/Praktek+Psikolog+-+LPP+Smart+Personality+Centre+Muara+Enim/data=!4m7!3m6!1s0x2e39f7c09155d0e9:0x9e4ebd6f3726cd97!8m2!3d-3.6647206!4d103.7756324!16s%2Fg%2F11hprmhtv8!19sChIJ6dBVkcD3OS4Rl80mN2-9Tp4?authuser=0&hl=id&rclk=1","Praktek Psikolog - LPP Smart Personality Centre Muara Enim","","","Psikolog","·","Jl. Ampera No.294","Tutup","· Buka Sen pukul 15.00","·","0813-7363-3777","","Rute","","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","","Situs Web","","","https://praktekpsikolog.com/","","Rute"
"https://www.google.com/maps/place/Klinik+Psikologi+RSUD+IBNU+SUTOWO/data=!4m7!3m6!1s0x2e39afee95d6ad63:0xc9da671879880d07!8m2!3d-4.1246138!4d104.1669241!16s%2Fg%2F11ks0ytkd4!19sChIJY63Wle6vOS4RBw2IeRhn2sk?authuser=0&hl=id&rclk=1","Klinik Psikologi RSUD IBNU SUTOWO","5,0","(2)","Psikoterapis","·","V5G8+4RW","","","","","","Rute","","","","",""
